periode_data,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
201902,"Jakarta Timur","KEC.KRAMAT JATI","KEL. CAWANG","01, 02, 03, 05, 08",5,14,0,0,"20 s/d 80 cm","tgl. 16,26",0,0,0,0,0,0,0,0
201902,"Jakarta Timur","KEC.KRAMAT JATI","KEL. CILILITAN","06, 07",2,5,0,0,"20 s/d 90 cm","tgl. 16,26",0,0,0,0,0,0,0,0
201903,"Jakarta Pusat","KEC. SENEN","KEL. KRAMAT",1,1,1,0,0,"20 cm","tgl. 26",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. CILINCING","KEL. SEMPER TIMUR","03, 09",2,6,0,0,"10 cm s/d 50 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. CILINCING","KEL. KALIBARU","07, 08, 012",3,3,0,0,"30 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. CILINCING","KEL. CILINCING","06, 09",2,4,0,0,"30 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. CILINCING","KEL. ROROTAN",5,1,1,0,0,"50 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. KELAPA GADING","KEL. PEGANGSAAN DUA",3,1,1,0,0,"30 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. KOJA","KEL. RAWA BADAK SELATAN","01, 04, 011",3,4,0,0,"10 cm s/d 20 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. PADEMANGAN","KEL. ANCOL","05, 010, 012",3,3,0,0,"25 cm s/d 30 cm","tgl 05,06",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. PENJARINGAN","KEL. PLUIT","01, 011, 022",3,7,0,0,"40 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. PENJARINGAN","KEL. PEJAGALAN","07, 015",2,2,0,0,"15 cm s/d 30 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. PENJARINGAN","KEL. PENJARINGAN",8,1,2,0,0,"30 cm","tgl 05",0,0,0,0,0,0,0,0
201903,"Jakarta Utara","KEC. PENJARINGAN","KEL. KAMAL MUARA",3,1,1,0,0,"50 cm","tgl 05",0,0,0,0,0,0,0,0
